class_debit_card's, class_debit_card is
account's,account
advisor's,advisor
ain't,am not
aren't,are not
'em,them
can't,cannot
card's,card is
cashier's,cashier
check's,check has
couldn't,could not
deposit's,deposit
didn't,did not
doesn't,does not
don't,do not
hadn't,had not
hasn't,has not
hasn't,has not
haven't,have not
he'd,he would
he'll,he will
he's,he has
i'd,i would
i'll,i will
i'm,i am
i've,i have
isn't,is not
it's,it is
let's,let us
mightn't,might not
mustn't,must not
o'clock,clock
shan't,shall not
she'd,she would
she'll,she will
she's,she is
shouldn't,should not
somebody's,somebody is
that's,that is
there's,there is
they'd,they would
they'll,they will
they're,they are
they've,they have
today's,today
transaction's,transaction has
wasn't,was not
we'd,we would
we'll,we will
we're,we are
we've,we have
weren't,were not
what'll,what will
what're,what are
what's,what is
what's,what is
what've,what have
when'll,when will
when's,when is
where's,where is
who'd,who would
who'll,who will
who're,who are
who's,who is
who've,who have
won't,will not
wouldn't,would not
y'all,you all
ya'all,you all
you'd,you would
you'll,you will
you're,you are
you've,you have
